%OpenBCI Raw EEG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Timestamp (Formatted)
25.0, 1067220.46875, 1192997.8125, -781653.703125, 58968.908203125, -919331.53125, -532331.625, 395072.8125, 251465.6953125, 0.10000000149011612, 0.9380000233650208, 0.17600001394748688, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6052576741660967E9, 2020-11-13 03:54:34.166
26.0, 1068451.03125, 1196876.90625, -831698.90625, 58414.763671875, -947491.5, -529466.484375, 392171.71875, 255158.0390625, 0.10000000149011612, 0.9380000233650208, 0.17600001394748688, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6052576741660988E9, 2020-11-13 03:54:34.166
27.0, 1079404.6875, 1195975.125, -751796.953125, 78307.1015625, -882309.0, -522995.390625, 412024.359375, 257956.640625, 0.10000000149011612, 0.9380000233650208, 0.17600001394748688, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6052576741661005E9, 2020-11-13 03:54:34.166
28.0, 1079692.78125, 1192141.125, -693401.53125, 81333.169921875, -847086.75, -524941.59375, 417221.953125, 254795.390625, 0.10400000214576721, 0.9340000152587891, 0.18400001525878906, 192.0, 3.0, 64.0, 29.0, 48.0, 5.0, 192.0, 0.0, 0.0, 0.0, 1.6052576741661024E9, 2020-11-13 03:54:34.166
29.0, 1068517.03125, 1192450.125, -764866.828125, 61722.99609375, -907180.59375, -531883.6875, 398032.359375, 251468.390625, 0.10400000214576721, 0.9340000152587891, 0.18400001525878906, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.605257674166104E9, 2020-11-13 03:54:34.166
30.0, 1066826.71875, 1196444.53125, -833442.375, 56019.55078125, -950947.21875, -530802.75, 390215.3203125, 254269.1484375, 0.10400000214576721, 0.9340000152587891, 0.18400001525878906, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.605257674166106E9, 2020-11-13 03:54:34.166
31.0, 1077910.6875, 1196469.75, -768931.453125, 75286.39453125, -894893.90625, -523736.765625, 408829.3125, 257879.390625, 0.10400000214576721, 0.9340000152587891, 0.18400001525878906, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.605257674166108E9, 2020-11-13 03:54:34.166
32.0, 1080989.90625, 1192791.28125, -694192.21875, 83186.572265625, -845654.4375, -523817.203125, 418688.015625, 255753.46875, 0.10400000214576721, 0.9340000152587891, 0.18400001525878906, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6052576741661096E9, 2020-11-13 03:54:34.166
33.0, 1070280.84375, 1192084.875, -747640.078125, 64999.048828125, -894341.90625, -531074.203125, 401444.109375, 251724.2578125, 0.10400000214576721, 0.9340000152587891, 0.18400001525878906, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6052576741661117E9, 2020-11-13 03:54:34.166
34.0, 1065924.9375, 1195813.125, -829654.03125, 54755.689453125, -950139.9375, -531835.96875, 389412.2578125, 253493.4609375, 0.10400000214576721, 0.9340000152587891, 0.18400001525878906, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6052576741661131E9, 2020-11-13 03:54:34.166
